Country,year
Afghanistan,75
Albania,240
Algeria,1450
Andorra,--
Angola,30
Anguilla,0
Antigua and Barbuda,90
Argentina,220
Armenia,20
Aruba,--
Australia,465
Austria,140
Azerbaijan,125
Bahama Islands,805
Bahrain,35
Bangladesh,4150
Barbados,260
Belarus,50
Belgium,385
Belize,80
Benin,375
Bermuda,--
Bhutan,30
Bolivia,95
Sin Eustatius And Saba Bonaire,0
Bosnia-Herzegovina,25
Botswana,45
Brazil,10245
Brunei,15
Bulgaria,60
Burkina-Faso,410
Burundi,330
Cambodia,80
Cameroon,1265
Cape Verde Islands,10
Cayman Islands,0
Central African Republic,30
Chad,70
Chile,540
China,84980
Colombia,3275
Comoros,15
Democratic Republic of the Congo,825
People's Republic of the Congo,150
Costa Rica,110
Croatia,60
Cuba,85
Curacao,--
Cyprus,10
Czech Republic,150
Denmark,110
Djibouti,50
Dominica,60
Dominican Republic,290
Democratic Republic of East Timor,0
Ecuador,750
Egypt,1315
El Salvador,275
Republic of Equatorial Guinea,10
Eritrea,150
Estonia,20
Ethiopia,315
Fiji,20
Finland,115
France,13415
French Guiana,0
French Polynesia,--
Gabon Republic,90
Gambia,65
Georgia,10
Germany,2230
Ghana,840
Greece,170
Grenada,35
Guadeloupe,--
Guatemala,70
Republic of Guinea,355
Guinea-Bissau,--
Guyana,255
Haiti,475
Holy See,--
Honduras,170
Hong Kong SAR,2440
Hungary,95
Iceland,35
India,107030
Indonesia,1210
Iran,7035
Iraq,200
Ireland,150
Israel,450
Italy,1440
Ivory Coast,930
Jamaica,1695
Japan,6680
Jordan,625
Kazakhstan,695
Kenya,1010
People's Democratic Republic of Korea,5
Republic of Korea,16860
Republic of Kosovo,40
Kuwait,140
Kyrgyzstan,60
Laos,10
Latvia,30
Lebanon,515
Lesotho,--
Liberia,--
Libya,500
Liechtenstein,--
Lithuania,40
Luxembourg,20
Macau SAR,220
Macedonia,20
Madagascar,165
Malawi,25
Malaysia,675
Republic of Maldives,5
Republic of Mali,450
Malta,--
Republic of the Marshall Islands,0
Martinique,0
Mauritania,65
Mauritius,610
Mexico,5750
Moldova,55
Monaco,--
People's Republic of Mongolia,145
Montenegro,--
Morocco,2105
Mozambique,15
Myanmar (Burma),40
Namibia,15
Nepal,525
The Netherlands Antilles,--
Netherlands,370
New Caledonia,--
New Zealand,110
Nicaragua,30
Republic of the Niger,115
Nigeria,6505
Norway,135
Oman,80
Other,10
Pakistan,2055
Republic of Palau,0
Palestinian Authority (Gaza/West Bank),140
Republic of Panama,395
Papua New Guinea,--
Paraguay,30
Peru,560
Philippines,4070
Poland,170
Portugal,255
Qatar,15
Reunion,0
Romania,145
Russia,1430
Rwanda,540
Saint-Martin,--
Independent State of Samoa,0
San Marino,--
Sao Tome and Principe,0
Saudi Arabia,2865
Senegal,805
Republic of Serbia,105
Seychelles,--
Sierra Leone,40
Singapore,315
Sint-Maarten,--
Slovak Republic,120
Slovenia,25
The Solomons,10
Somalia,70
South Africa,365
South Sudan,5
Spain,1785
Sri Lanka,565
St. Kitts-Nevis,50
St. Lucia,100
St. Vincent and the Grenadines,25
Stateless,110
Democratic Republic of Sudan,145
Surinam,5
Swaziland,10
Sweden,200
Switzerland,500
Syria,260
Taiwan,3160
Tajikistan,20
Tanzania,360
Thailand,930
Togo,285
Tonga,--
Trinidad and Tobago,390
Tunisia,1260
Turkey,3125
Turkmenistan,20
Tuvalu,0
Uganda,380
Ukraine,1685
United Arab Emirates,45
United Kingdom and Overseas Territories,2020
United States Minor Outlying Islands,0
United States of America,6520
Uruguay,35
Uzbekistan,25
Vanuatu,--
Venezuela,815
Vietnam,12350
British Virgin Islands,0
Western Sahara,--
Yemen,265
Zambia,115
Zimbabwe,420
Country of Citizenship not stated,0
